"sample.set","sample","ssc.g.mL","date.time","q.cms","ssc.g.L","date","q.L.s","load.g.s"
"TJR_3","14","23627.77778",2020-02-09 21:19:00,2.85126666666667,23.62777778,"02/09/2020",2851.26666666667,67369.0951915213
"TJR_3","15","30694.93671",2020-02-09 22:19:00,2.72093333333333,30.69493671,"02/09/2020",2720.93333333333,83518.876458796
"TJR_3","16","25850.72464",2020-02-09 23:19:00,2.498,25.85072464,"02/09/2020",2498,64575.11015072
"TJR_3","17","16300",2020-02-10 00:19:00,2.39386666666667,16.3,"02/10/2020",2393.86666666667,39020.0266666667
"TJR_3","18","24941.81818",2020-02-10 01:19:00,2.3692,24.94181818,"02/10/2020",2369.2,59092.155632056
"TJR_3","19","12053.33333",2020-02-10 02:19:00,2.46473333333333,12.05333333,"02/10/2020",2464.73333333333,29708.2524362287
"TJR_3","20","12020.27027",2020-02-10 03:19:00,2.4868,12.02027027,"02/10/2020",2486.8,29892.008107436
"TJR_3","21","14918.86792",2020-02-10 04:19:00,3.0754,14.91886792,"02/10/2020",3075.4,45881.486401168
"TJR_3","22","39104.41176",2020-02-10 05:19:00,3.67186666666667,39.10441176,"02/10/2020",3671.86666666667,143586.186061152
"TJR_3","23","48231.50685",2020-02-10 06:19:00,4.01073333333333,48.23150685,"02/10/2020",4010.73333333333,193443.71224019
